host_id,host_name,host_is_superhost
4298654,Sam,f
67373899,Will,t
506909,Nevena,f
7027191,Matthew,f
266645207,Michael And Carrol,f
3758471,Stephanie,f
118110284,David,f
245002893,Christopher,t
20318052,Laura,t
16583238,Tommy,f
97853468,Steven,f
4075380,Tanya,f
17820079,Kent,f
34939187,Meredith,f
53468381,Jeremy,t
8693741,John,f
17906387,Jess,f
617127,Amy,f
156833182,Maria,f
270314994,Nicole And Jason,t
71276635,Joe,f
32479008,Christiana,f
166014,Matt & Virginia,f
17347754,Benjamin,f
6501582,Gaia,f
158552987,Juan Luis,f
53206623,Wayde,f
22017065,Pamela,t
14362471,Andy,f
12776493,Sonia,f
9909635,Vadim,t
965946,Sunil,f
152636597,Alexes,f
17766289,Kaila,f
6707119,Parnell,f
27293055,Sara,f
13283118,Nathalie,f
23212298,Seda,f
11549078,Kristian,t
23596542,Javier,f
4422962,Remo,f
14786085,Andrew,f
10641733,Valentina,f
18830662,Jack,f
135522817,Shaun,f
141615596,Esteem,f
9953808,Savanah,f
14290739,Stanton,t
2101238,Ty,f
4407432,Antoinette,t
4396337,Nicolo,f
33836993,Daniela,f
75458625,Lidia,t
12155032,Clemence,f
2206491,Paola,f
1527888,Ilya,f
64837680,Andrea,f
515095,Mei,t
2147475,Will,f
60163700,Dee,f
9484127,Ken,t
52586141,Lance,t
7157099,Sigi,t
33401596,Luke,f
19789539,Isaac,f
34992043,Frances,f
158974584,Emma,t
9262409,Danielle,f
31469635,Ricky,f
13664226,Rebecca,t
6502688,Bryan,f
6334250,Shaila & Alex,f
1673750,Valerie,f
50997424,Mark,f
41201538,Faith,f
39918716,Kazi,f
50318467,Seyi,f
119651060,Josephine,f
77355562,Anna,t
17866326,Rony,f
48960226,Julia,f
1931990,Yarden,f
652539,Jamie,f
1239959,Naz,f
24123958,Elliot,f
11513145,Jessica,f
124352,Lisa,f
7952263,Anne,f
2368634,Jen,f
6310115,Lanny,f
50331528,Sarah,f
6706379,Robyn,f
2343858,Claire,f
9662924,Albert,f
7412033,Evan,f
18041691,Sebastien,f
18038832,Crystal & John,f
13898361,Charles,f
37750296,Gene,f
7702854,Matei,f
18105672,Eric,f
