neighbourhood_group,neighbourhood,precinct,precinct_danger_normalized
Bronx,Allerton,49,0.01567404861057392
Bronx,Baychester,47,0.027778386465343148
Bronx,Belmont,48,0.022839388649233103
Bronx,Bronxdale,49,0.01567404861057392
Bronx,Castle Hill,43,0.029846060002808088
Bronx,City Island,45,0.012427937940539736
Bronx,Claremont Village,44,0.03566088002717444
Bronx,Clason Point,43,0.029846060002808088
Bronx,Concourse,44,0.03566088002717444
Bronx,Concourse Village,44,0.03566088002717444
Bronx,Co-op City,45,0.012427937940539736
Bronx,Country Club,45,0.012427937940539736
Bronx,Eastchester,47,0.027778386465343148
Bronx,East Morrisania,42,0.022719115812593043
Bronx,Edenwald,47,0.027778386465343148
Bronx,Fieldston,50,0.009880474553476607
Bronx,Fordham,46,0.020444440111748112
Bronx,Highbridge,44,0.03566088002717444
Bronx,Hunts Point,41,0.01863670978529478
Bronx,Kingsbridge,50,0.009880474553476607
Bronx,Longwood,41,0.01863670978529478
Bronx,Melrose,40,0.030845559871793257
Bronx,Morrisania,42,0.022719115812593043
Bronx,Morris Heights,46,0.020444440111748112
Bronx,Morris Park,49,0.01567404861057392
Bronx,Mott Haven,40,0.030845559871793257
Bronx,Mount Eden,44,0.03566088002717444
Bronx,Mount Hope,46,0.020444440111748112
Bronx,North Riverdale,50,0.009880474553476607
Bronx,Norwood,52,0.021139221729293608
Bronx,Olinville,52,0.021139221729293608
Bronx,Parkchester,43,0.029846060002808088
Bronx,Pelham Bay,45,0.012427937940539736
Bronx,Pelham Gardens,49,0.01567404861057392
Bronx,Port Morris,40,0.030845559871793257
Bronx,Riverdale,50,0.009880474553476607
Bronx,Schuylerville,49,0.01567404861057392
Bronx,Soundview,43,0.029846060002808088
Bronx,Spuyten Duyvil,50,0.009880474553476607
Bronx,Throgs Neck,45,0.012427937940539736
Bronx,Tremont,46,0.020444440111748112
Bronx,Unionport,43,0.029846060002808088
Bronx,University Heights,46,0.020444440111748112
Bronx,Van Nest,49,0.01567404861057392
Bronx,Wakefield,47,0.027778386465343148
Bronx,Westchester Square,45,0.012427937940539736
Bronx,West Farms,48,0.022839388649233103
Bronx,Williamsbridge,47,0.027778386465343148
Bronx,Woodlawn,47,0.027778386465343148
Brooklyn,Bath Beach,62,0.009588809253086339
Brooklyn,Bay Ridge,68,0.006545214717668634
Brooklyn,Bedford-Stuyvesant,79,0.02508125767989766
Brooklyn,Bensonhurst,62,0.009588809253086339
Brooklyn,Bergen Beach,63,0.007973351891903502
Brooklyn,Boerum Hill,84,0.009278062082839943
Brooklyn,Borough Park,66,0.008140578214924327
Brooklyn,Brighton Beach,60,0.01214951465431139
Brooklyn,Brooklyn Heights,84,0.009278062082839943
Brooklyn,Brownsville,73,0.020292318580966553
Brooklyn,Bushwick,83,0.016840649885880583
Brooklyn,Canarsie,69,0.008457060580927645
Brooklyn,Carroll Gardens,76,0.004552481915459162
Brooklyn,Clinton Hill,88,0.006188855227495887
Brooklyn,Cobble Hill,76,0.004552481915459162
Brooklyn,Columbia St,76,0.004552481915459162
Brooklyn,Coney Island,60,0.01214951465431139
Brooklyn,Crown Heights,77,0.01334943999126258
Brooklyn,Cypress Hills,75,0.038991074828436834
Brooklyn,Downtown Brooklyn,88,0.006188855227495887
Brooklyn,DUMBO,84,0.009278062082839943
Brooklyn,Dyker Heights,68,0.006545214717668634
Brooklyn,East Flatbush,67,0.021356310072113648
Brooklyn,East New York,75,0.038991074828436834
Brooklyn,Flatbush,67,0.021356310072113648
Brooklyn,Flatlands,63,0.007973351891903502
Brooklyn,Fort Greene,88,0.006188855227495887
Brooklyn,Fort Hamilton,68,0.006545214717668634
Brooklyn,Gerritsen Beach,61,0.011152778989315021
Brooklyn,Gowanus,78,0.007884812961086632
Brooklyn,Gravesend,62,0.009588809253086339
Brooklyn,Greenpoint,94,0.006656882650593938
Brooklyn,Kensington,66,0.008140578214924327
Brooklyn,Manhattan Beach,61,0.011152778989315021
Brooklyn,Midwood,70,0.01204386213568477
Brooklyn,Mill Basin,63,0.007973351891903502
Brooklyn,Navy Yard,84,0.009278062082839943
Brooklyn,Park Slope,78,0.007884812961086632
Brooklyn,Prospect Heights,78,0.007884812961086632
Brooklyn,Prospect-Lefferts Gardens,71,0.009612992450853402
Brooklyn,Red Hook,76,0.004552481915459162
Brooklyn,Sea Gate,60,0.01214951465431139
Brooklyn,Sheepshead Bay,61,0.011152778989315021
Brooklyn,South Slope,78,0.007884812961086632
Brooklyn,Sunset Park,72,0.009447734409878955
Brooklyn,Vinegar Hill,84,0.009278062082839943
Brooklyn,Williamsburg,90,0.01223476523742128
Brooklyn,Windsor Terrace,72,0.009447734409878955
Manhattan,Battery Park City,1,0.00830022513280945
Manhattan,Chelsea,10,0.007363963498834034
Manhattan,Chinatown,5,0.008748596744459807
Manhattan,Civic Center,1,0.00830022513280945
Manhattan,East Harlem,25,0.0265128249991739
Manhattan,East Village,9,0.011520723659319916
Manhattan,Financial District,1,0.00830022513280945
Manhattan,Flatiron District,13,0.009976088158441304
Manhattan,Gramercy,13,0.009976088158441304
Manhattan,Greenwich Village,6,0.011010245659239649
Manhattan,Harlem,28,0.02477114775362426
Manhattan,Hell's Kitchen,10,0.007363963498834034
Manhattan,Inwood,34,0.01235629821346753
Manhattan,Kips Bay,17,0.005766065374226164
Manhattan,Little Italy,1,0.00830022513280945
Manhattan,Lower East Side,7,0.00844175912929009
Manhattan,Marble Hill,50,0.009880474553476607
Manhattan,Midtown,14,0.025315170951668162
Manhattan,Morningside Heights,26,0.006407818164837797
Manhattan,Murray Hill,17,0.005766065374226164
Manhattan,NoHo,9,0.011520723659319916
Manhattan,Nolita,1,0.00830022513280945
Manhattan,Roosevelt Island,114,0.018682861441510858
Manhattan,SoHo,5,0.008748596744459807
Manhattan,Stuyvesant Town,13,0.009976088158441304
Manhattan,Theater District,18,0.010232695755967799
Manhattan,Tribeca,1,0.00830022513280945
Manhattan,Two Bridges,7,0.00844175912929009
Manhattan,Upper East Side,19,0.012876293515586798
Manhattan,Upper West Side,20,0.013862800359776975
Manhattan,Washington Heights,33,0.009413915745627565
Manhattan,West Village,6,0.011010245659239649
Queens,Arverne,100,0.002978963648016645
Queens,Astoria,114,0.018682861441510858
Queens,Bayside,111,0.007270498798710706
Queens,Bayswater,101,0.006667745339246113
Queens,Bay Terrace,109,0.021131594214348022
Queens,Belle Harbor,100,0.002978963648016645
Queens,Bellerose,105,0.013634886465701861
Queens,Breezy Point,100,0.002978963648016645
Queens,Briarwood,107,0.009240759255515039
Queens,Cambria Heights,105,0.013634886465701861
Queens,College Point,109,0.021131594214348022
Queens,Corona,110,0.02125716419426555
Queens,Ditmars Steinway,114,0.018682861441510858
Queens,Douglaston,111,0.007270498798710706
Queens,East Elmhurst,115,0.015484045246685368
Queens,Edgemere,101,0.006667745339246113
Queens,Elmhurst,110,0.02125716419426555
Queens,Far Rockaway,101,0.006667745339246113
Queens,Flushing,109,0.021131594214348022
Queens,Forest Hills,112,0.0048789314524254526
Queens,Fresh Meadows,107,0.009240759255515039
Queens,Glendale,104,0.012339724805979255
Queens,Glen Oaks,105,0.013634886465701861
Queens,Hollis,103,0.020027636975697496
Queens,Hollis Hills,111,0.007270498798710706
Queens,Holliswood,107,0.009240759255515039
Queens,Howard Beach,106,0.011370557750108446
Queens,Jackson Heights,115,0.015484045246685368
Queens,Jamaica,103,0.020027636975697496
Queens,Jamaica Estates,107,0.009240759255515039
Queens,Jamaica Hills,107,0.009240759255515039
Queens,Kew Gardens,102,0.011416369261528343
Queens,Kew Gardens Hills,107,0.009240759255515039
Queens,Laurelton,105,0.013634886465701861
Queens,Little Neck,111,0.007270498798710706
Queens,Long Island City,108,0.011966129343392671
Queens,Maspeth,104,0.012339724805979255
Queens,Middle Village,104,0.012339724805979255
Queens,Neponsit,100,0.002978963648016645
Queens,Ozone Park,106,0.011370557750108446
Queens,Queens Village,105,0.013634886465701861
Queens,Rego Park,112,0.0048789314524254526
Queens,Richmond Hill,102,0.011416369261528343
Queens,Ridgewood,104,0.012339724805979255
Queens,Rockaway Beach,100,0.002978963648016645
